job_title,company_name,company_location,work_method,post_date,work_time
"Senior Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Valencia, Valencian Community, Spain",Hybrid,2 weeks ago,Internship
"Senior Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Málaga, Andalusia, Spain",On-site,2 weeks ago,Full-time · Mid-Senior level
"Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Madrid, Community of Madrid, Spain",Hybrid,1 month ago,Full-time · Associate
Data & Analytics Practice Lead,Sogeti,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Associate
"Principal Biostatistician, home-based EMEA",Labcorp,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Data Analyst,Michael Page,"Barcelona, Catalonia, Spain",Remote,6 days ago,Full-time · Mid-Senior level
Danish Language Data Analyst,TransPerfect,"Barcelona, Catalonia, Spain",Hybrid,2 days ago,Full-time · Associate
REMOTE WORK for Spanish Speakers | Data Analyst,TELUS International AI Data Solutions,Greater Valencia Metropolitan Area,Remote,1 week ago,Full-time
"Senior Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Zaragoza, Aragon, Spain",Hybrid,3 days ago,Full-time
"Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Seville, Andalusia, Spain",Remote,1 week ago,Full-time · Associate
"Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Málaga, Andalusia, Spain",On-site,6 days ago,Full-time · Mid-Senior level
Beca Analista de Datos y Procesos,Aegon,"Madrid, Community of Madrid, Spain",Remote,2 weeks ago,Full-time · Entry level
